agency_id,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order
VOLANBUSZ,100,10,Szedreskerti lakónegyed - Autóbusz-állomás - Rádiótelep - Orsovai utca,3,ef86b0,FFFFFF,0
VOLANBUSZ,10G,10G,Autóbusz-állomás - Rádiótelep,3,E5097F,FFFFFF,1
VOLANBUSZ,110,11,Szedreskerti lakónegyed - Autóbusz-állomás - Stadion - Vásárhelyi úti lakótelep,3,b21918,FFFFFF,2
VOLANBUSZ,11A,11A,Csapó utca - Stadion - Sóstói bevásárlóközpont,3,b21918,FFFFFF,3
VOLANBUSZ,11G,11G,Sóstói bevásárlóközpont - Vásárhelyi út - Csapó utca,3,FF0000,FFFFFF,4
VOLANBUSZ,120,12,Szedreskerti lakónegyed - Autóbusz-állomás - Börgöndi út - Sóstói bevásárlóközpont,3,008DD2,FFFFFF,5
VOLANBUSZ,12A,12A,Csapó utca - Börgöndi út - Sóstói bevásárlóközpont,3,008DD2,FFFFFF,6
VOLANBUSZ,12Y,12Y,Fecskeparti lakótelep - Autóbusz-állomás - Új Váralja sor - Zsurló utca - Babér utca,3,6FBF9A,FFFFFF,7
VOLANBUSZ,13G,13G,Autóbusz-állomás - Vasútállomás - Zsurló utca - Babér utca,3,ab549b,FFFFFF,8
VOLANBUSZ,140,14,Szedreskerti lakónegyed - Autóbusz-állomás - Budai út - Köfém lakótelep,3,a8d2f2,1b4b7c,9
VOLANBUSZ,14G,14G,Autóbusz-állomás - Budai út - Mentőállomás - Köfém lakótelep - Babér utca,3,818F9A,FFFFFF,10
VOLANBUSZ,150,15,Fecskeparti lakótelep - Móri út - Csapó utca - Szárcsa utca - Sóstói bevásárlóközpont - Sóstó Ipari Park,3,29803C,FFFFFF,11
VOLANBUSZ,15Y,15Y,Csapó utca - Szárcsa utca - Szlovák utca - Vásárhelyi úti lakótelep,3,29803C,FFFFFF,12
VOLANBUSZ,160,16,"Börgönd (- Babér utca) - Kórház, Rendelőintézet - Áron Nagy Lajos tér - Fecskeparti lakótelep - Kőrösi utca",3,E51955,FFFFFF,13
VOLANBUSZ,170,17,Csapó utca - Uszoda - Áron Nagy Lajos tér - Budai út - Köfém lakótelep,3,846573,FFFFFF,14
