stop_id,stop_name,stop_lat,stop_lon,platform_code
B1,Hernád utca,47.213420,18.350981,
B10,Régi Csóri út,47.206296,18.381922,A
B100,Juharfa utca,47.164371,18.426373,B
B101,Juharfa utca,47.163623,18.426519,A
B102,Akácfa utca,47.167649,18.425124,B
B103,Akácfa utca,47.167653,18.424882,A
B104,Szárcsa utca,47.174286,18.419411,B
B105,Szárcsa utca,47.174122,18.419303,A
B106,Börgöndi út / Akácfa utca,47.169119,18.427157,A
B107,Börgöndi út / Akácfa utca,47.169669,18.427194,B
B108,Sárkeresztúri út / Börgöndi út,47.172052,18.423002,A
B109,Sárkeresztúri út / Börgöndi út,47.172155,18.423072,B
B11,Régi Csóri út,47.206636,18.381346,B
B110,Széchenyi utca 113.,47.175381,18.419589,A
B111,Széchenyi utca 113.,47.175677,18.419504,B
B112,Sóstói temető,47.177538,18.417154,B
B113,Sóstói temető,47.177375,18.416731,A
B114,Stadion,47.172747,18.413161,B
B115,Stadion,47.172391,18.412661,A
B116,Segesvári utca,47.169368,18.409951,B
B117,Segesvári utca,47.169065,18.408898,A
B118,Batthyány köz,47.168383,18.406376,A
B119,Batthyány köz,47.167449,18.406111,B
B12,Szárazréti Közösségi Központ,47.203336,18.384945,B
B120,Rádió utca,47.160924,18.406640,A
B121,Rádió utca,47.161738,18.406739,B
B122,Ikarus 1. porta,47.158589,18.407008,B
B123,Ikarus 1. porta,47.157891,18.406977,A
B124,Ikarus 3. porta,47.155076,18.407882,B
B125,Orsovai utca,47.155270,18.385897,A
B126,Orsovai utca,47.155160,18.385914,B
B127,Vízaknai utca,47.156513,18.389517,A
B128,Vízaknai utca,47.156818,18.390712,B
B129,Rádiótelep,47.161420,18.401888,B
B13,Szárazréti Közösségi Központ,47.203006,18.384709,A
B130,Rádiótelep,47.161347,18.401645,A
B131,Szilvamag utca,47.166876,18.404303,A
B132,Szilvamag utca,47.166955,18.404658,B
B133,Bárándi utca,47.178782,18.425950,A
B134,Bárándi utca,47.178480,18.425460,B
B139,Szabadkai utca,47.192104,18.443078,B
B14,Opole tér,47.201285,18.379639,A
B140,Szabadkai utca,47.192307,18.442706,A
B141,Mentőállomás,47.193062,18.437009,B
B142,Mentőállomás,47.193499,18.435900,A
B143,Seregélyesi út / Mártírok útja,47.189973,18.446837,A
B144,Seregélyesi út / Mártírok útja,47.189840,18.447042,B
B145,Raktár utca,47.189041,18.443148,B
B146,Raktár utca,47.188561,18.441340,A
B147,Madách Imre utca,47.187633,18.438184,A
B148,Madách Imre utca,47.187597,18.438427,B
B149,Kinizsi utca,47.186358,18.434566,B
B15,Opole tér,47.201505,18.378787,B
B150,Kinizsi utca,47.185988,18.432938,A
B151,Gyár utca,47.184961,18.429639,A
B152,Gyár utca,47.184596,18.428989,B
B153,Király sor / Géza utca,47.195250,18.429044,C
B154,Király sor / Géza utca,47.195011,18.427848,A
B155,Király sor / Géza utca,47.194654,18.429168,B
B156,Kisteleki utca / Géza utca,47.198601,18.433180,B
B157,Kisteleki utca / Géza utca,47.198596,18.432982,A
B158,Kadocsa utca,47.201277,18.436388,B
